index_Recurso,tipo_formacao,descricao_Formacao,tipo_Ensino,index_formacao
1,Geologia,Caracterização petrográfica e microscópica de materiais geológicos,,1
2, Sismologia, Estágios de curta-média duração (para profissionais) operação e gestão de rede sísmicas, ,2
3, Sismologia, Estágios de curta-média duração (para profissionais) processamento e análise sísmica, ,3
4, Sismologia, Estágios de curta duração (para alunos dos ensinos secundário e superior) redes sísmicas,,4
5, Geofísica Aplicada, Formação em aquisição processamento de dados de sísmica de reflexão e refração,,5
6, Geofísica Aplicada, Formação em Diagrafias,,6
7, Geofísica Aplicada, Formação em técnicas de inversão geofísica,,7
8, Geofísica Aplicada, Formação em inversão sísmica estocástica,,8
9, Geofísica Aplicada, Modelação numérica da deformação crustal para estudos da fonte sísmica,,9
10, Geofísica Aplicada, Inversão da forma de onda para estudo da fonte sísmica,,10
11, Geofísica Aplicada, Modelação da estrutura da crusta com dados de ruído sísmico e magnetometria,,11
12, Geofísica Aplicada, Registo processamento e interpretação de dados geofísicos em contexto arqueológico e no meio ambiente, ,12
13, Geomatemática, modelação e computação Cursos teóricos e ou práticos nos 3 ciclos superiores nas áreas curriculares marinhas à medida dos parceiros C4G, E-leraning e in-house,13
14, Geomatemática, modelação e computação Formação avançada em interpretação de dados geofísicos, E-learning e in-house,14
15, Geoambiente, Curso “Modelação de processos geoquímicos”,,15
16, Geoambiente,Curso “Deteção remota aplicada ao Geoambiente”,,16
17, Geoambiente,Workshop “Impactes ambientais associados à indústria extrativa”,,17
18, Geoambiente,Workshop “Geologia médica”,,18
19, Geoambiente,Curso “Sistemas de Gestão Ambiental: ISO 14001 (2015)”,,19
20, Geoambiente,Workshop “Hidrologia Isotópica na gestão sustentável de recursos hídricos”,,20
21, Georrecursos,Formação em procedimentos de utilização de equipamentos específicos em georrecuros,,21
22, Georrecursos,Formação em procedimentos normalizados de caracterização de georrecursos,,22
23, Georrecursos,Formação sobre operações unitárias em extração mineira processamento de minérios, armazenamento de rejeitados etc,23
24,Riscos Naturais,Workshops sobre o risco de movimentos de massa e sua cartografia,,24
25,Riscos Naturais,Formação para potenciais utilizadores do OpenQuake, elearning,25
26,Riscos Naturais,Formação técnico-científica elearning sobre riscos costeiros, suscetibilidades e cartografia,26
27,Riscos Naturais,Workshops sobre o risco de tsunami,,27
28,Riscos Naturais,Boas práticas e riscos de longo prazo decorrentes da exposição ao radão,,28
29,Riscos Cósmicos, Formação em Modelação de Espectros de Refletância de Meteoritos e Asteróides,,29
30,Materiais,Imagens relacionadas com as Ciências da Terra (GEOIMAGENS),,30
31,Materiais,Léxico de geologia (GEOLEX),,31
32,Materiais,Léxico de hidrogeologia (HIDROLEX),,32
33,Materiais,Glossário de Palinologia (PALINOGLOSS),,33
